STT,Questions,Entities,Grade,Unit,Assign,Check Done,Cypher Query,Query Type,Note,# Single-Single,# Single-Multi,# Multi-Single,# Multi-Multi,label,event_type
187,Trình bày diễn biến của cuộc đấu tranh thống nhất nước Đức vào giữa thế kỉ XIX,"cuộc đấu tranh thống nhất nước Đức | giữa thế kỉ XIX
to_chuc | thoi_gian",10,33,NgocLD,TRUE,"match (e:Event)-[:ten_goi]-(a) where b.name = ""cuộc đấu tranh thống nhất nước Đức""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where a.name = ""giữa thế kỉ XIX""
match (e)-[:SubEvent|mo_ta]->(e1)
match path=(e1)-[:(NextEvent|Causal|Result|SubEvent)*]-()
with nodes(path) as l
match path = (x)-[*0..1]-(y:Entity) where x in l
return path",multi - multi,,,,,,3,
188,Kết quả của trận En A-la-men là gì?,"trận En A-la-men
tran_chien",11,53,HungTX,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""trận En A-la-men"" 
match (e)-[:Result|ket_qua]->(e1)
match path=(e1)-[:NextEvent*0..]->()
with nodes(path) as l
match path=(x)-[*0..1]-(y:Entity) where x in l
return path",single - multi,,,,,,1,
189,trận En A-la-men là trận chiến giữa các bên nào?,"trận En A-la-men
tran_chien",11,53,HungTX,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""trận En A-la-men"" 
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(b) 
return b",single - single,,,,,,6,
190,Hiệp ước Nhâm Tuất giữa Triều đình Huế và Pháp được kí vào thời gian nào?,"Hiệp ước Nhâm Tuất | Triều đình Huế | Pháp
hiep_dinh | to_chuc | to_chuc",11,54,LongLPH,TRUE,"match (e:KiKet)-[:ten_goi]-(a) where a.nam = ""Hiệp ước Nhâm Tuất""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(b) where b.nam = ""Triều đình Huế""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(c) where c.nam = ""Pháp""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(d)
return d",single - single,,,,,,3,
191,Ý nghĩa của Hiệp ước Xô - Đức,"Hiệp ước Xô - Đức
hiep_dinh",11,53,HungTX,TRUE,"match (e:KiKet)-[:ten_goi]-(a) where a.name = ""Hiệp ước Xô - Đức""
match (e)-[:y_nghia]-(b)
return b",single - single,,,,,,12,
192,Hiệp định đình chiến được kí kết giữa Nước Pháp và Đức vào ngày 22 - 6 - 1940 có nội dung gì?,"Hiệp định đình chiến | Pháp | Đức | ngày 22 - 6 - 1940
hiep_dinh | to_chuc | to_chuc | thoi_gian",11,53,HungTX,TRUE,"match (e:KiKet)-[:ten_goi]-(a) where a.name = ""Hiệp định đình chiến""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(b) where b.name = ""Pháp""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(c) where c.name = ""Đức""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(d) where d.name = ""ngày 22 - 6 - 1940""
match (e)-[:mo_ta]-(f)
return f",single - single,,,,,,1,
193,"Đức, I-ta-li-a và Nhật Bản kí kết Hiệp ước Tam cường ở đâu?","Đức | I-ta-li-a | Nhật Bản | Hiệp ước Tam cường
to_chuc | to_chuc | to_chuc | hiep_dinh",11,53,HungTX,TRUE,"match (e:KiKet)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(a) where a.name = ""Đức""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(b) where a.name = ""I-ta-li-a""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(c) where a.name = ""Nhật Bản""
match (e)-[:ten_goi]-(d) where d.name = ""Hiệp ước Tam cường""
match (e)-[:(dien_ra_o|thuoc)*]-(f)
return f",single - single,,,,,,1,
194,Hiệp ước Tam cường có sự tham gia của các quốc gia nào?,"Hiệp ước Tam cường
hiep_dinh",11,53,HungTX,TRUE,"match (e:KiKet)-[:ten_goi]-(a) where a.name = ""Hiệp ước Tam cường""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(b)
return b",single - single,,,,,,6,
195,Hiệp ước Tam cường được kí kết vào thời gian nào?,"Hiệp ước Tam cường
hiep_dinh",11,53,HungTX,TRUE,"match (e:KiKet)-[:ten_goi]-(a) where a.name = ""Hiệp ước Tam cường""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b)
return b",single - single,,,,,,15,
196,"Ở Mặt trận Bắc Phi, quân đội I-ta-li-a đã tấn công địa điểm nào vào tháng 9 - 1940?","Mặt trận Bắc Phi | quân đội I-ta-li-a | tháng 9 - 1940
tran_chien | quan_doi | thoi_gian",11,53,HungTX,TRUE,"match (e:Event)-[:(dien_ra_o|thuoc)*]-(a) where a.name = ""Mặt trận Bắc Phi""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(b) where b.name = ""quân đội I-ta-li-a""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(c) where c.name = ""tháng 9 - 1940""
match (e)-[:doi_tuong_bi_tan_cong]-(d)
return d",single - single,,,,,,2,
197,Cuộc khởi nghĩa Lam Sơn chống lại đội quân nào?,"Cuộc khởi nghĩa Lam Sơn
tran_chien",10,25,QuanPV,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Cuộc khởi nghĩa Lam Sơn""
match (e)-[:doi_tuong_bi_tan_cong]-(b)
return b",single - single,,,,,,2,
198,"Vào Tháng 10 - 1942, liên quân Anh - Mĩ và liên quân Đức - I-ta-li-a tiến hành trận En A-la-men tại đâu?","Tháng 10 - 1942  | liên quân Anh - Mĩ | liên quân Đức - I-ta-li-a | trận En A-la-men
thoi_gian | quan_doi | quan_doi | tran_chien",11,53,HungTX,TRUE,"match (e:Event)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(a) where a.name = ""Tháng 10 - 1942""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(b) where b.name = ""liên quân Anh - Mĩ""
match (e)-[:doi_tuong_bi_tan_cong]-(c) where c.name = ""liên quân Đức - I-ta-li-a""
match (e)-[:ten_goi]-(d) where d.name = ""trận En A-la-men"" 
match (e)-[:(dien_ra_o|thuoc)*]-(f) 
return f
",single - single,,,,,,1,
199,Các cường quốc nào đóng vai trò lãnh đạo Khối Đồng minh chống phát xít?,"Khối Đồng minh chống phát xít
to_chuc",11,53,HungTX,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Khối Đồng minh chống phát xít"" 
match (e)-[:doi_tuong_lanh_dao]-(b) 
return b",single - single,,,,,,9,
200,"Vào 24 - 6 - 1867, thực dân Pháp đã đánh chiếm những tỉnh thành nào?","24 - 6 - 1867 | thực dân Pháp 
thoi_gian | dia-diem
",11,54,LongLPH,TRUE,"match (e:Event)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(a) where a.name = ""24 - 6 - 1867""
match (e)-[:doi_tuong_xam_chiem|doi_tuong_chiem|doi_tuong_chiem]-(b) where b.name = ""thực dân Pháp""
match (e)-[:doi_tuong_bi_chiem]-(c)
return c",single - single,,,,,,2,
201,Ý nghĩa của cuộc cách mạng tư sản Anh?,"cuộc cách mạng tư sản Anh
tran_chien",10,27,QuanPV,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""cuộc cách mạng tư sản Anh""
match (e)-[:y_nghia]-(b)
return b",single - single,,,,,,12,
202,Quân Pháp đánh chiếm địa điểm nào vào ngày 23 - 11 - 1873?,"Quân Pháp | ngày 23 - 11 - 1873
quan_doi | thoi_gian",11,55,LongLPH,TRUE,"match (e:Event)-[:doi_tuong_xam_chiem|doi_tuong_chiem|doi_tuong_chiem]-(a) where a.name = ""Quân Pháp""
match (e)-[:dien_ra_vao]-(b) where b.name = ""ngày 23 - 11 - 1873""
match (e)-[:doi_tuong_bi_chiem]-(c)
return c",single - single,,,,,,6,
203,Mục tiêu của cuộc Cách mạng Hà Lan?,"cuộc Cách mạng Hà Lan
tran_chien",10,27,QuanPV,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""cuộc Cách mạng Hà Lan""
match (e)-[:muc_tieu]-(b)
return b",single - single,,,,,,3,
204,Vương triều Tây Ban Nha bị lật đổ vào thời gian nào?,"Vương triều Tây Ban Nha
to_chuc",10,27,QuanPV,TRUE,"match (e:Event)-[:doi_tuong_bi_lat_do]-(a) where a.name = ""Vương triều Tây Ban Nha""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b)
return b",single - single,,,,,,1,
205,Cuộc cách mạng tư sản Anh diễn ra vào thời gian nào?,"Cuộc cách mạng tư sản Anh
tran_chien",10,27,QuanPV,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Cuộc cách mạng tư sản Anh""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b)
return b",single - single,,,,,,15,
206,Ý nghĩa của cuộc Cách mạng Hà Lan?,"cuộc Cách mạng Hà Lan
tran_chien",10,27,QuanPV,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""cuộc Cách mạng Hà Lan""
match (e)-[:y_nghia]-(b)
return b",single - single,,,,,,12,
207,Vua Tự Đức mất vào thời gian nào?,"Vua Tự Đức
nhan_vat",10,55,LongLPH,TRUE,"match (e:Event)-[:doi_tuong_mat]-(a) where a.name = ""Vua Tự Đức""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b)
return b",single - single,,,,,,1,
208,Vua Phi-líp II bị phế truất vào thời gian nào?,"Vua Phi-líp II
nhan_vat",10,27,QuanPV,TRUE,"match (e:Event)-[:doi_tuong_bi_phe_truat]-(a) where a.name = ""Vua Phi-líp II""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b)
return b",single - single,,,,,,1,
209,"Sáng 18 - 8 - 1883, hàm đội của Pháp tấn công Thuận An dưới sự chỉ huy của ai?","Sáng 18 - 8 - 1883 | Pháp | Thuận An
thoi_gian | dia_diem | dia_diem",10,55,LongLPH,TRUE,"match (e:Event)-[:dien_ra_vao|thoi_gian_bat_dau]-(a) where a.name = ""Sáng 18 - 8 - 1883""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(b) where b.name = ""Pháp""
match (e)-[:doi_tuong_bi_tan_cong]-(c) where c.name = ""Thuận An""
match (e)-[:doi_tuong_lanh_dao]-(d)
return d",single - single,,,,,,1,
210,Cuộc khởi nghĩa Lam Sơn bắt đầu vào thời gian nào?,"Cuộc khởi nghĩa Lam Sơn
tran_chien",10,25,QuanPV,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Cuộc khởi nghĩa Lam Sơn""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau]-(b)
return b",single - single,,,,,,8,
0,Kể tên toàn bộ các nước đã tham gia vào chiến tranh thế giới thứ 2,"Chiến tranh thế giới thứ hai
tran_chien",11,,LongLPH,FALSE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Chiến tranh thế giới thứ hai""
match path = (e)-[:(NextEvent|SubEvent|Causal|Result)*]-()
match (x)--(y:DiaDiem) where x in nodes(path) 
return y",single - multi,,,,,,,
32,"Đại hội Xô viết toàn Nga lần Thứ hai, khai mạc đêm 25/10/1917 đã
","Đại hội Xô viết toàn Nga lần Thứ hai | đêm 25/10/1917
cuoc_hop | thoi_gian",,,QuanPV,TRUE,"match (e:DienRaCuocHop)-[:ten_goi]-(a) where a.name = ""Đại hội Xô viết toàn Nga lần Thứ hai""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where b.name = ""đêm 25/10/1917""
match (e)-[:Result|ket_qua]->(e1)
match path=(e1)-[:NextEvent*0..]->()
with nodes(path) as l
match path=(x)-[*0..1]-(y:Entity) where x in l
return path",single - multi,,,,,,2,
40,NGUYÊN NHÂN DIỄN RA CHIẾN TRANH THẾ GIỚI THỨ NHẤT,"CHIẾN TRANH THẾ GIỚI THỨ NHẤT
tran_chien",,,QuanPV,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""CHIẾN TRANH THẾ GIỚI THỨ NHẤT""
match (e)-[:Causal|nguyen_nhan|boi_canh]->(e1)
match path=(e1)-[:(Causal|NextEvent)*0..]-(b) where (b)<-[:Causal*0..]-() and (b)-[:NextEvent*0..]->()
with nodes(path) as l
match path=(x)-[*0..1]-(y:Entity) where x in l
return path",multi - multi,,,,,,6,
61,"tại sao đến năm 1942,  Khối Đồng minh chống phát xít mới hình thành","năm 1942 | Khối Đồng minh chống phát xít
thoi_gian | to_chuc",,,LongLPH,TRUE,"match (e:ThanhLap)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(a) where a.name = ""năm 1942""
match (e)-[:doi_tuong_duoc_thanh_lap]-(b) where b.name = ""Khối Đồng minh chống phát xít""
match (e)-[:Causal|nguyen_nhan|boi_canh]->(e1)
match path=(e1)-[:(Causal|NextEvent)*0..]-(b) where (b)<-[:Causal*0..]-() and (b)-[:NextEvent*0..]->()
with nodes(path) as l
match path=(x)-[*0..1]-(y:Entity) where x in l
return path",multi - multi,,,,,,2,
62,Tổng khởi nghĩa giành chính quyền tháng Tám năm 1945 ở Việt Nam bùng nổ trong bối cảnh lịch sử nào?,"Tổng khởi nghĩa giành chính quyền tháng Tám | năm 1945 | Việt Nam
tran_chien | thoi_gian | dia_diem",,,HungTX,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Tổng khởi nghĩa giành chính quyền tháng Tám""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where b.name = ""năm 1945""
match (e)-[:(dien_ra_o|thuoc)*]-(c) where c.name = ""Việt Nam""
match (e)-[:Causal|nguyen_nhan|boi_canh]->(e1)
match path=(e1)-[:(Causal|NextEvent)*0..]-(b) where (b)<-[:Causal*0..]-() and (b)-[:NextEvent*0..]->()
with nodes(path) as l
match path=(x)-[*0..1]-(y:Entity) where x in l
return path",multi - multi,,,,,,3,
68,Ý nghĩa của trận chiến trên sông Bạch Đằng năm 938 do Ngô Quyền lãnh đạo ,"trận chiến trên sông Bạch Đằng | năm 938 | Ngô Quyền
tran_chien | thoi_gian | nhan_vat",,,,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""trận chiến trên sông Bạch Đằng""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where b.name = ""năm 938""
match (e)-[:doi_tuong_lanh_dao]-(c) where c.name = ""Ngô Quyền""
match (e)-[:y_nghia]-(d) 
return d",single - single,,,,,,1,
74,Trình bày về Hội nghị Ianta,"Hội nghị Ianta
cuoc_hop",,,LongLPH,TRUE,"match (e:DienRaCuocHop)-[:ten_goi]-(a) where a.name = ""Hội nghị Ianta""
match (e)-[:SubEvent|mo_ta]->(e1)
match path=(e1)-[:(NextEvent|Causal|Result|SubEvent)*]-()
with nodes(path) as l
match path = (x)-[*0..1]-(y:Entity) where x in l
return path",multi - multi,,,,,,8,
84,ý nghĩa Cách mạng tháng Hai Nga,"Cách mạng tháng Hai Nga
tran_chien",,,QuanPV,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Cách mạng tháng Hai Nga""
match (e)-[:y_nghia]-(b)
return b",single - single,,,,,,12,
97,"Ở Nga, Chính quyền Xô viết do Lê-nin đứng đầu được thành lập vào năm nào?","Nga | Chính quyền Xô viết | Lê-nin
dia_diem | to_chuc | nhan_vat",,,QuanPV,TRUE,"match (e:ThanhLap)-[:(dien_ra_o|thuoc)*]-(a) where a.name = ""Nga""
match (e)-[:thanh_lap_boi]-(b) where b.name = ""Lê-nin""
match (e)-[:doi_tuong_duoc_thanh_lap]-(c) where c.name = ""Chính quyền Xô viết""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(d)
return d",single - single,,,,,,1,
107,"Sau cuộc chiến tranh Mỹ - Tây Ban Nha (1898), Phi-lip-pin trở thành thuộc địa của quốc gia nào?","cuộc chiến tranh Mỹ - Tây Ban Nha (1898) | Phi-lip-pin
thoi_gian | dia_diem",,,QuanPV,FALSE,"match (e:Event)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(a) where a.name = ""cuộc chiến tranh Mỹ - Tây Ban Nha (1898)""
match (e)-[:doi_tuong_bi_chiem]-(b) where b.name = ""Phi-lip-pin""
match (e)-[:doi_tuong_xam_chiem|doi_tuong_chiem]-(c)
return c",single - single,,,,,,6,
136,Nguyễn Ái Quốc thành lập Hội Việt Nam Cách mạng Thanh niên nhằm tổ chức và lãnh đạo quần chúng đoàn kết chống,"Nguyễn Ái Quốc | Hội Việt Nam Cách mạng Thanh niên
nhan_vat | to_chuc",,,QuanPV,TRUE,"match (e:ThanhLap)-[:thanh_lap_boi]-(a) where a.name = ""Nguyễn Ái Quốc""
match (e)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Hội Việt Nam Cách mạng Thanh niên""
match (e)-[:muc_tieu]-(b)
return b",single - single,,,,,,1,
156,sự kiện nào đánh dấu Chiến tranh thế giới thứ hai kết thúc,"Chiến tranh thế giới thứ hai
tran_chien",,,LongLPH,TRUE,"match (e:Event)-[:NextEvent|Result|Causal]-(e1) where (e)-[:NextEvent|Result]->(e1) or (e)<-[:Causal]-(e1)
match (e1)-[:doi_tuong_ket_thuc]-(a) where a.name=""Chiến tranh thế giới thứ hai""
match path=(e)-[*0..1]-(y:Entity)
return path",multi - multi,,,,,,1,
201,Năm 542-543 diễn ra sự kiện gì?,"Năm 542 | 543
thoi_gian | thoi_gian",,,NgocLD,TRUE,"match (e:Event)-[:dien_ra_vao|thoi_gian_bat_dau]-(a) where a.name = ""Năm 542""
match (e)-[:dien_ra_vao|thoi_gian_ket_thuc]-(b) where b.name = ""543""
match path = (e)-[*0..1]-(y:Entity)
return path",single - multi,,,,,,1,
205,Ý nghĩa của sự ra đời liên bang cộng hoà xã hội chủ nghĩa xô viết,"liên bang cộng hoà xã hội chủ nghĩa xô viết
to_chuc",,,QuanPV,TRUE,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""liên bang cộng hoà xã hội chủ nghĩa xô viết""
match (e)-[:y_nghia]-(b)
return b",single - single,,,,,,3,
265,"Sau thắng lợi của Cách mạng tháng Mười Nga, nhiệm vụ hàng đầu của Chính quyền Xô viết là","Cách mạng tháng Mười Nga | Chính quyền Xô viết
tran_chien | to_chuc",,,QuanPV,FALSE,"match (e:Event)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(a) where a.name = ""Cách mạng tháng Mười Nga""
match (e:Event)-[:doi_tuong_duoc_thanh_lap]-(b) where b.name=""Chính quyền Xô viết""
match (e:Event)-[:muc_tieu]-(c)
return c",single - single,,,,,,1,
307,Sự ra đời của chính quyền Xô viết ở Nga gắn liền với sự kiện nào?,"chính quyền Xô viết | Nga
to_chuc | dia_diem",,,QuanPV,TRUE,"match (e:Event)-[:NextEvent|Result|Causal]-(e1) where (e)-[:NextEvent|Result]->(e1) or (e)<-[:Causal]-(e1)
match (e1)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""chính quyền Xô viết""
match (e1)-[:(dien_ra_o|thuoc)*]-(b) where b.name = ""Nga""
match path=(e)-[*0..1]-(y:Entity)
return path",multi - multi,,,,,,1,
327,Ai là người đứng đầu Cách mạng Nga năm 1917?,"Cách mạng Nga | năm 1917
tran_chien | thoi_gian",,,QuanPV,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Cách mạng Nga""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where b.name = ""năm 1917""
match (e)-[:doi_tuong_lanh_dao]-(c)
return c",single - single,,,,,,3,
331,kết quả của Chiến tranh thế giới thứ nhất,"Chiến tranh thế giới thứ nhất
tran_chien",,,QuanPV,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name =  ""Chiến tranh thế giới thứ nhất"" 
match (e)-[:Result|ket_qua]->(e1)
match path=(e1)-[:NextEvent*0..]->()
with nodes(path) as l
match path=(x)-[*0..1]-(y:Entity) where x in l
return path",multi - multi,,,,,,5,
339,Hội nghị Ianta (2/1945) đã họp ở đâu?,"Hội nghị Ianta | 2/1945
cuoc_hop | thoi_gian",,,LongLPH,TRUE,"match (e:DienRaCuocHop)-[:ten_goi]-(a) where a.name = ""Hội nghị Ianta""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where b.name = ""2/1945""
match (e)-[:(dien_ra_o|thuoc)*]-(c)
return c",single - single,,,,,,11,
356,Trình bày những nét chính về quá trình thực dân phương tây xâm lược các nước Đông Nam Á?,"thực dân phương tây | các nước Đông Nam Á
to_chuc | dia_diem",,,QuanPV,TRUE,"match (e:Event)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(a) where a.name=""thực dân phương tây""
match (e)-[:(dien_ra_o|thuoc)*]-(b) where b.name=""các nước Đông Nam Á""
match (e)-[:SubEvent|mo_ta]->(e1)
match path=(e1)-[:(NextEvent|Causal|Result|SubEvent)*]-()
with nodes(path) as l
match path = (x)-[*0..1]-(y:Entity) where x in l
return path",multi - multi,,,,,,1,
359,Diễn biến phong trào nông dân Yên Thế,"phong trào nông dân Yên Thế
tran_chien",,,NgocLD,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""phong trào nông dân Yên Thế""
match (e)-[:SubEvent|mo_ta]->(e1)
match path=(e1)-[:(NextEvent|Causal|Result|SubEvent)*]-()
with nodes(path) as l
match path = (x)-[*0..1]-(y:Entity) where x in l
return path",multi - multi,,,,,,8,
360,Hãy nêu hoàn cảnh của hội nghị thành lập Đảng,"Đảng
cuoc_hop",,,HungTX,TRUE,"match (e:DienRaCuocHop)-[:NextEvent|Result|Causal]-(e1) where (e)-[:NextEvent|Result]->(e1) or (e)<-[:Causal]-(e1)
match (e1)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name=""Đảng""
match (e)-[:Causal|nguyen_nhan|boi_canh]->(e1)
match path=(e1)-[:(Causal|NextEvent)*0..]-(b) where (b)<-[:Causal*0..]-() and (b)-[:NextEvent*0..]->()
with nodes(path) as l
match path=(x)-[*0..1]-(y:Entity) where x in l
return path",multi - multi,,,,,,1,
360-1,Hãy nêu nội dung của hội nghị thành lập Đảng,"Đảng
cuoc_hop",,,,TRUE,"match (e:DienRaCuocHop)-[:NextEvent|Result|Causal]-(e1) where (e)-[:NextEvent|Result]->(e1) or (e)<-[:Causal]-(e1)
match (e1)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name=""Đảng""
match (e)-[:mo_ta]-(b)
return b",multi - single,,,,,,1,
360-2,Hãy nêu ý nghĩa của hội nghị thành lập Đảng,"Đảng
cuoc_hop",,,,TRUE,"match (e:DienRaCuocHop)-[:NextEvent|Result|Causal]-(e1) where (e)-[:NextEvent|Result]->(e1) or (e)<-[:Causal]-(e1)
match (e1)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name=""Đảng""
match (e)-[:y_nghia]-(b)
return b",multi - single,,,,,,1,
386,"Ngày 6-3-1946, Hiệp định Sơ bộ được kí kết giữa đại diện Chính phủ Việt Nam Dân chủ Cộng hòa với đại diện Chính phủ Pháp diễn ra trong bối cảnh nào? ","Ngày 6-3-1946 | Hiệp định Sơ bộ | Chính phủ Việt Nam Dân chủ Cộng hòa | Chính phủ Pháp
thoi_gian | hiep_dinh | to_chuc | to_chuc",,,HungTX,TRUE,"match (e:KiKet)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(a) where a.name=""Ngày 6-3-1946""
match (e)-[:ten_goi]-(b) where b.name=""Hiệp định Sơ bộ""
match (e)-(:doi_tuong_tham_gia)-(c) where c.name=""Chính phủ Việt Nam Dân chủ Cộng hòa""
match (e)-(:doi_tuong_tham_gia)-(d) where d.name=""Chính phủ Pháp""
match (e)-[:Causal|nguyen_nhan|boi_canh]->(e1)
match path=(e1)-[:(Causal|NextEvent)*0..]-(b) where (b)<-[:Causal*0..]-() and (b)-[:NextEvent*0..]->()
with nodes(path) as l
match path=(x)-[*0..1]-(y:Entity) where x in l
return path",multi - multi,,,,,,4,
402,ý nghĩa lịch sử của cuộc tiến công chiến lược Đông - Xuân 1953 - 1954.,"cuộc tiến công chiến lược Đông - Xuân 1953 - 1954
tran_chien",,,HungTX,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""cuộc tiến công chiến lược Đông - Xuân 1953 - 1954""
match (e)-[:y_nghia]-(b)
return b",single - single,,,,,,12,
412,tóm tắt cuộc chiến ở Xiêm,"Xiêm
dia_diem",,,QuanPV,TRUE,"match (e:Event)-[:(dien_ra_o|thuoc)*]-(a) where a.name=""Xiêm""
match (e)-[:SubEvent|mo_ta]->(e1)
match path=(e1)-[:(NextEvent|Causal|Result|SubEvent)*]-()
with nodes(path) as l
match path = (x)-[*0..1]-(y:Entity) where x in l
return path",multi - multi,,,,,,1,
419,"Vì sao năm 1917 ở Nga đã diễn ra hai cuộc cách mạng?

","1917 | Nga | hai cuộc cách mạng
thoi_gian | dia_diem | tran_chien",,,QuanPV,FALSE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Cách mạng tháng Mười""
match (e)-[:Causal|nguyen_nhan|boi_canh]->(e1)
match path=(e1)-[:(Causal|NextEvent)*0..]-(b) where (b)<-[:Causal*0..]-() and (b)-[:NextEvent*0..]->()
with nodes(path) as l
match path=(x)-[*0..1]-(y:Entity) where x in l
return path",,,,,,,,
419-1,Vì sao năm 1917 ở Nga diễn ra cuộc cách mạng tháng Mười?,"năm 1917 | Nga | cuộc cách mạng tháng Mười
thoi_gian | dia_diem | tran_chien",,,,TRUE,"match (e:Event)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(a) where a.name = ""năm 1917""
match (e)-[:(dien_ra_o|thuoc)*]-(b) where b.name = ""Nga""
match (e)-[:ten_goi]-(c) where c.name = ""cuộc cách mạng tháng Mười"" 
match (e)-[:Causal|nguyen_nhan|boi_canh]->(e1) 
match path=(e1)-[:(Causal|NextEvent)*0..]-(b) where (b)<-[:Causal*0..]-() and (b)-[:NextEvent*0..]->() 
with nodes(path) as l 
match path=(x)-[*0..1]-(y:Entity) where x in l 
return path",multi - multi,,,,,,3,
436,Ý nghĩa của cuộc khởi nghĩa Lam Sơn?,"cuộc khởi nghĩa Lam Sơn
tran_chien",,,NgocLD,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""cuộc khởi nghĩa Lam Sơn""
match (e)-[:y_nghia]-(b) 
return b",single - single,,,,,,12,
443,Bác hồ sinh năm bao nhiêu,"Bác hồ
nhan_vat",,,,FALSE,"match (a)-[r]-(b) where a.name = ""Bác hồ"" and type(r) = ""sinh_vao"" return b",,,,,,,,
450,Khởi nghĩa Lam Sơn diễn ra vào thời gian nào? ,"Khởi nghĩa Lam Sơn 
tran_chien",,,NgocLD,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Khởi nghĩa Lam Sơn""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) 
return b",single - single,,,,,,15,
